"Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","n_images"
"SLC 120 Basho Sultanabad ","Fox",2021-11-28 03:22:08,2021-11-28,"03:22:08",0,0,0,0,"Data-21-22/SLC 120 Basho Sultanabad /Fox","IMG_0004.AVI",1
"SLC 120 Basho Sultanabad ","Fox",2021-11-28 04:15:08,2021-11-28,"04:15:08",3180,53,0.9,0,"Data-21-22/SLC 120 Basho Sultanabad /Fox","IMG_0005.AVI",1
"SLC 120 Basho Sultanabad ","Fox",2021-11-29 17:43:52,2021-11-29,"17:43:52",134924,2248.7,37.5,1.6,"Data-21-22/SLC 120 Basho Sultanabad /Fox","IMG_0006.AVI",1
"SLC 120 Basho Sultanabad ","Fox",2021-11-30 18:24:46,2021-11-30,"18:24:46",88854,1480.9,24.7,1,"Data-21-22/SLC 120 Basho Sultanabad /Fox","IMG_0007.AVI",1
"SLC 120 Basho Sultanabad ","Fox",2021-12-03 18:01:14,2021-12-03,"18:01:14",257788,4296.5,71.6,3,"Data-21-22/SLC 120 Basho Sultanabad /Fox","IMG_0008.AVI",1
"SLC 120 Basho Sultanabad ","Fox",2021-12-12 23:33:26,2021-12-12,"23:33:26",797532,13292.2,221.5,9.2,"Data-21-22/SLC 120 Basho Sultanabad /Fox","IMG_0013.AVI",1
"SLC 120 Basho Sultanabad ","Fox",2021-12-26 02:20:30,2021-12-26,"02:20:30",1133224,18887.1,314.8,13.1,"Data-21-22/SLC 120 Basho Sultanabad /Fox","IMG_0017.AVI",1
"SLC 120 Basho Sultanabad ","Fox",2021-12-28 22:11:50,2021-12-28,"22:11:50",244280,4071.3,67.9,2.8,"Data-21-22/SLC 120 Basho Sultanabad /Fox","IMG_0018.AVI",1
"SLC 120 Basho Sultanabad ","Fox",2022-01-03 16:43:26,2022-01-03,"16:43:26",498696,8311.6,138.5,5.8,"Data-21-22/SLC 120 Basho Sultanabad /Fox","IMG_0019.AVI",1
"SLC 120 Basho Sultanabad ","Ibex",2022-01-10 13:15:32,2022-01-10,"13:15:32",0,0,0,0,"Data-21-22/SLC 120 Basho Sultanabad /Ibex","IMG_0026.AVI",1
"SLC 120 Basho Sultanabad ","Other",2021-11-23 08:00:04,2021-11-23,"08:00:04",0,0,0,0,"Data-21-22/SLC 120 Basho Sultanabad /Other","IMG_0003.AVI",1
"SLC 120 Basho Sultanabad ","Other",2021-12-09 06:33:20,2021-12-09,"06:33:20",1377196,22953.3,382.6,15.9,"Data-21-22/SLC 120 Basho Sultanabad /Other","IMG_0010.AVI",1
"SLC 120 Basho Sultanabad ","Other",2021-12-11 07:46:24,2021-12-11,"07:46:24",177184,2953.1,49.2,2.1,"Data-21-22/SLC 120 Basho Sultanabad /Other","IMG_0011.AVI",2
